Part,Value,Device,Package,Description,DIGIKEY_PART#,Mfg,Part#, Q1 [CAD] , Q10 [CAD] , Q100 [CAD] ,Need, Subtotal ,,Buy, Subtotal 
J9,5179031,5179031,TE-5179031-1,TE Plug assembly FH 0.8mm - 40 pos.,A115335-ND,TE Connectivity,5179031-1,$4.01,,,1,$4.01,,0, $-   
U11,25FL127S00,25LC080SN,SO-08,Serial FLASH 16Mx8,1274-1045-ND,Spansion,S25FL127SABMFI10_,$2.07,,,1,$2.07,,2,$4.14
RN10,51R,2R-NEXBV4V,EXBV4V,RES ARRAY 51 OHM 2 RES 0606,MNR12ERAPJ510,Rohm Semi,MNR12ERAPJ510,$0.12,$0.08,,3,$0.36,,10,$0.79
RN20,51R,2R-NEXBV4V,EXBV4V,,,,,,,,,,,,
RN9,51R,2R-NEXBV4V,EXBV4V,,,,,,,,,,,,
RN25,56R,2R-NEXBV4V,EXBV4V,RES ARRAY 56 OHM 2 RES 0606,Y2560CT-ND,Panasonic,EXB-V4V560JV,$0.21,,,2,$0.42,,5,$1.05
RN26,56R,2R-NEXBV4V,EXBV4V,,,,,,,,,,,,
RN21,10K,4R-NCAT16,CAT16,RES ARRAY 10K OHM 4 RES 1206,CAY16-103J4GLFCT-ND,Bourns Inc.,CAY16-103J4GLF,$0.12,$0.06,,1,$0.12,,10,$0.64
RN1,1K,4R-NCAT16,CAT16,RES ARRAY 1K OHM 4 RES 1206,CAY16-102J4GLFCT-ND,Bourns Inc.,CAY16-102J4GLF,$0.12,$0.06,,2,$0.24,,10,$0.64
RN2,1K,4R-NCAT16,CAT16,,,,,,,,,,,,
RN6,330R,4R-NCAT16,CAT16,RES ARRAY 330 OHM 4 RES 1206,CAY16-331J4LFCT-ND,Bourns Inc.,CAY16-331J4LF,$0.12,$0.06,,1,$0.12,,10,$0.62
RN11,33R,4R-NCAT16,CAT16,RES ARRAY 33 OHM 4 RES 1206,CAY16-330J4LFCT-ND,Bourns Inc.,CAY16-330J4LF,$0.12,$0.06,,6,$0.72,,15,$0.93
RN12,33R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN13,33R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN14,33R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN16,33R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN17,33R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN3,4K7,4R-NCAT16,CAT16,RES ARRAY 4.7K OHM 4 RES 1206,CAY16-472J4LFCT-ND,Bourns Inc.,CAY16-472J4LF,$0.12,$0.06,,3,$0.36,,10,$0.62
RN4,4K7,4R-NCAT16,CAT16,,,,,,,,,,,,
RN7,4K7,4R-NCAT16,CAT16,,,,,,,,,,,,
RN18,51R,4R-NCAT16,CAT16,RES ARRAY 51 OHM 4 RES 1206,CAY16-510J4LFCT-ND,Bourns Inc.,CAY16-510J4LF,$0.12,$0.06,,6,$0.72,,15,$0.93
RN19,51R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN22,51R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN23,51R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN24,51R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN5,51R,4R-NCAT16,CAT16,,,,,,,,,,,,
RN15,82R,4R-NCAT16,CAT16,RES ARRAY 82 OHM 4 RES 1206,CAY16-820J4LFCT-ND,Bourns Inc.,CAY16-820J4LF,$0.12,$0.06,,2,$0.24,,10,$0.62
RN8,82R,4R-NCAT16,CAT16,,,,,,,,,,,,
U20,74LVC1G11DCK,74LVC1G11DCK,SC70-6,IC GATE AND 1CH 3-INP SC-70-6,296-18066-1-ND,TI,SN74LVC1G11DCKR,$0.46,,,1,$0.46,,2,$0.92
