Partlist

Exported from FPGA Computer Rev15 Rel 0.sch at 24/07/2014 10:53:16 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value                 Device                 Package               Library               Sheet

C1       0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C2       0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C3       0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C4       0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C5       10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C6       100uF                 POLARISED_D_CASE       CAPMP7343X310N        ipc-7351-capacitor    1
C7       6n8                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C8       10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C9       10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C10      100pF                 CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C11      100pF                 CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C12      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C13      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C14      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C15      100uF                 POLARISED_D_CASE       CAPMP7343X310N        ipc-7351-capacitor    1
C16      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C17      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C18      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    1
C19      470uF                 CAP_POL                E2,5-6E               Misc Passives         1
C20      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C21      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C22      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    1
C23      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    2
C24      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C25      10uF                  POLARISED_B_CASE       CAPMP3528X210N        ipc-7351-capacitor    2
C26      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C27      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C28      10uF                  CPOL-EUE2-5            E2-5                  rcl                   2
C29      10uF                  CPOL-EUE2-5            E2-5                  rcl                   2
C30      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C31      10uF                  POLARISED_B_CASE       CAPMP3528X210N        ipc-7351-capacitor    2
C32      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C33      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C34      2u2                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C35      2u2                   C-PR-1,0X3             E1,0-3                Misc Passives         2
C36      2u2                   C-PR-1,0X3             E1,0-3                Misc Passives         2
C37      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C38      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C39      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C40      1uF                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C41      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    2
C42      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    2
C43      15pF                  CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C44      15pF                  CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C45      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C46      10uF                  CAPACITOR_0805N        CAP2012X70N           ipc-7351-capacitor    3
C47      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C48      NC                    CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C50      0u1                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C51      0u1                   CAPACITOR_0402         CAPC1005X60N          ipc-7351-capacitor    3
C52      6n8                   CAPACITOR_0603         CAPC1608X92N          ipc-7351-capacitor    3
C53      0u1                   CAPACITOR_0402         CAPC1005X60N          ipc-7351-capacitor    3
